Rang,Nom,Fortune,Société,Secteur
1,Bernard Arnault et sa famille,73200,LVMH,luxe
2,Alain Wertheimer et Gérard Wertheimer ainsi que leur famille,40000,CHANEL,luxe
3,Famille Hermès,39600,HERMES INTERNATIONAL,luxe
4,Françoise Bettencourt-Meyers et sa famille,39300,L’OREAL,cosmétiques
5,Gérard Mulliez et sa famille,38000,GROUPE MULLIEZ,distribution
6,François Pinault et sa famille,30500,KERING,luxe
7,"Laurent, Marie-Hélène & Thierry Dassault",23800,GROUPE INDUSTRIEL MARCEL DASSAULT,holding
8,Pierre Castel et sa famille,12500,CASTEL FRERES,vins
9,Emmanuel Besnier et sa famille,12000,LACTALIS,agroalimentaire
10,François Perrodo et sa famille,8500,PERENCO,energie
11,Vincent Bolloré,7800,BOLLORE,holding
12,Patrick Drahi,7700,ALTICE,télécoms
13,Xavier Niel et sa famille,6800,ILIAD,télécoms
14,Anne Beaufour et Henri Beaufour ainsi que leur famille,5900,GROUPE IPSEN,pharmacie
15,Famille Courtin-Clarins,5800,CLARINS,cosmétiques
16,Alain Mérieux et sa famille,5500,BIOMERIEUX,chimie
16,Rodolphe Saadé et sa famille,5500,CMA-CGM,transports
18,Alexandre Ricard et sa famille,5300,PERNOD RICARD,agroalimentaire
19,Famille Decaux,5200,JCDECAUX COMMUNICATION,publicité
20,Pierre Bellon et ses enfants,5100,SODEXO,services
21,Ariane de Rothschild et sa famille,5000,GROUPE E. DE ROTHSCHILD,services financiers
22,Marie-Christine Coisne-Roquette et Familles Coisne et Lambert,4800,SONEPAR,distribution
23,Margarita Louis-Dreyfus et sa famille,4500,LOUIS-DREYFUS COMPANY,holding
24,Robert Peugeot et sa famille,4400,STELLANTIS,automobile
25,Ginette Moulin et sa famille,3900,GALERIES LAFAYETTE,distribution
26,"Gilles Hennessy et familles Hennessy, Moët et Chandon",3800,LVMH,luxe
27,Nicolas Puech,3500,HERMES INTERNATIONAL,luxe
28,Martin Bouygues et Olivier Bouygues ainsi que leur famille,3400,BOUYGUES,btp
28,Marc Ladreit de Lacharrière,3400,FIMALAC,holding
30,Mohed Altrad,3300,ALTRAD,btp
30,Marc Hériard-Dubreuil et sa famille,3300,REMY COINTREAU,vins
32,Famille Lesaffre,3000,LESAFFRE,agroalimentaire
32,Famille Lescure,3000,GROUPE SEB,consommation
34,Laurent Burelle et sa famille,2900,PLASTIC OMNIUM,automobile
35,Gilles Martin et Yves-Loïc Martin,2700,EUROFINS SCIENTIFIC,santé
35,Edouard Roquette et sa famille,2700,GROUPE ROQUETTE,agroalimentaire
37,Daniel Roullier et sa famille,2600,GROUPE ROULLIER,chimie
38,Paul-Georges Despature et sa famille,2500,SOMFY,industrie
38,Bris Rocher et sa famille,2500,GROUPE ROCHER,cosmétiques
40,Martine Primat et sa famille,2300,PRIMLAND,industrie
41,Louis Le Duff,2200,GROUPE LE DUFF,agroalimentaire
41,Philippe d’ Ornano et Christine d’ Ornano ainsi que leur famille,2200,SISLEY,cosmétiques
43,Eric Guerlain et sa famille,2100,LVMH,luxe
44,Yves Guillemot et sa famille,2000,UBISOFT,internet
44,Michel Leclercq et sa famille,2000,GROUPE DECATHLON,distribution
44,Pierre Omidyar,2000,EBAY/PAYPAL,numérique
44,Famille de Wendel,2000,WENDEL,holding
48,Charles Edelstenne,1900,DASSAULT SYSTEMES,numérique
48,François Feuillet et sa famille,1900,TRIGANO,automobile
48,"Antoine Fiévet et familles Fievet, Sauvin , Dufort",1900,FROMAGERIES BEL,agroalimentaire
51,Pierre-Etienne Bindschedler,1800,SOPREMA,btp
51,Jean-Pierre Cayard et Edith Cayard ainsi que leur famille,1800,LA MARTINIQUAISE,vins
51,Thierry Mauvernay et sa famille,1800,DEBIOPHARM GROUP,pharmacie
54,Gonzalve Bich et sa famille,1700,BIC,industrie
55,Pierre Bouriez et François Bouriez ainsi que leur famille,1600,GROUPE LOUIS DELHAIZE,distribution
55,Guillaume Dauphin et sa famille,1600,GUY DAUPHIN ENVIRONNEMENT,holding
55,Norbert Dentressangle et sa famille,1600,DENTRESSANGLE,holding
55,Clément Fayat et sa famille,1600,FAYAT,btp
55,Jacques-Antoine Granjon,1600,VEEPEE,numérique
55,Octave Klaba et sa famille,1600,OVH CLOUD,numérique
55,Jacques Merceron-Vicat et sa famille,1600,VICAT,btp
55,Famille Michelin,1600,MICHELIN,automobile
55,Famille Savare,1600,FRANÇOIS-CHARLES OBERTHUR,industrie
64,Edouard Carmignac et sa famille,1500,CARMIGNAC GESTION,services financiers
64,Eric Duval et sa famille,1500,GROUPE DUVAL,immobilier
64,Jean Mane et sa famille,1500,MANE,chimie
64,Jean-Claude Mimran et sa famille,1500,GROUPE MIMRAN,holding
64,Robert Mouawad et sa famille,1500,MOUAWAD,luxe
64,Famille Pich,1500,SNF FLOERGER,chimie
70,Alain Taravella et sa famille,1460,ALTAREA COGEDIM,immobilier
71,Jérôme Duval et Familles Aubert et Duval,1400,ERAMET,industrie
71,Sadri Fegaier,1400,SFAM,assurances
71,Philippe Journo,1400,COMPAGNIE DE PHALSBOURG,immobilier
71,Jacques Gaston Murray,1400,MURRAY HOLDINGS,immobilier
71,Jérôme Seydoux et sa famille,1400,PATHE,cinéma
76,Christian Latouche et sa famille,1300,FIDUCIAL,services financiers
77,Christopher Descours et sa famille,1200,EPI,holding
77,Frédéric Gervoson et Familles Chapoulart et Gervoson,1200,ANDROS,agroalimentaire
77,Beny Steinmetz,1200,BSG RESOURCES,services
77,Lionel Viret et sa famille,1200,GROUPE STAGO,pharmacie
81,Jean Cassegrain et sa famille,1100,LONGCHAMP,luxe
81,Gerard Déprez et sa famille,1100,LOXAM,services
81,"Louis Desanges et Familles Desanges, Gérondeau, Maréchal, Pinault, Schelcher",1100,SAFRAN,industrie
81,Georges Gaspard et sa famille,1100,LYRECO,distribution
81,Jean-Pierre Lamoure et famille Radat,1100,GROUPE ATLANTIC,industrie
81,"Benoît Martinot-Lagarde et Familles Lefebvre, Barbier et Sarrut",1100,GROUPE LEFEBVRE SARRUT,services
81,Marie-Jeanne Meyer et Leopold Meyer ainsi que leur famille,1100,CAILLE,holding
81,Famille Papillaud,1100,GROUPE ALMA,agroalimentaire
81,Olivier Pelat,1100,EUROPEQUIPEMENTS,immobilier
81,Patrice Pichet et sa famille,1100,GROUPE PICHET,immobilier
81,Michel Reybier,1100,DOMAINES REYBIER,holding
81,Famille Rolloy,1100,PROMOGIM GROUPE,immobilier
81,Iskandar Safa,1100,PRIVINVEST,industrie
94,Elisabeth Badinter et sa famille,1000,PUBLICIS,publicité
94,Bernard Fraisse et sa famille,1000,FAREVA,pharmacie
94,Famille Lambert,1000,LDC,agroalimentaire
94,Sébastien Picciotto,1000,ORFIM,holding
94,Charles Ruggieri et sa famille,1000,BATIPART INVEST,holding
94,Michel Soufflet et sa famille,1000,GROUPE SOUFFLET,agroalimentaire
94,Jacques Veyrat,1000,IMPALA,holding
101,Christian Boiron et sa famille,900,BOIRON,pharmacie
101,Stéphane Delachaux et sa famille,900,DELACHAUX,industrie
101,Thierry Gillier et sa famille,900,ZADIG & VOLTAIRE,consommation
101,Irène Gosset et famille Colonna de Giovellina,900,POCHET,industrie
101,Yves Journel,900,SAGESSE RETRAITE SANTE,maisons de retraite
101,Famille Le Lous,900,URGO,pharmacie
101,Jean Madar et sa famille,900,INTER PARFUMS,cosmétiques
101,Serge Varsano et sa famille,900,SUCRES ET DENREES,services
109,Famille Bénéteau,321,GROUPE BENETEAU,industrie
109,Alex Bongrain et sa famille,850,SAVENCIA,agroalimentaire
109,Didier Domange et sa famille,850,SAFRAN,industrie
109,Philippe Louis-Dreyfus et Edouard Louis-Dreyfus ainsi que leur famille,850,LOUIS-DREYFUS ARMATEURS,transports
109,Annette Roux et sa famille,597,GROUPE BENETEAU,industrie
109,Henri Vaney Barande et sa famille,850,SYNERGIE,services
114,Antoine Besins et sa famille,800,BESINS HEALTHCARE,pharmacie
114,Stéphane Courbit,800,LOV GROUP,holding
114,Dominique Desseigne et Famille Desseigne-Barrière,800,GROUPE LUCIEN BARRIERE,hôtellerie
114,Chuc Hoang et Nicolas Hoang ainsi que leur famille,800,MI29 - EUROBAIL,immobilier
114,Philippe Oddo et sa famille,800,ODDO BHF,services financiers
114,Philippe Sereys de Rothschild et son frère et sa soeur,800,BARON PHILIPPE DE ROTHSCHILD,vins
114,Frédéric Rouzaud et sa famille,800,LOUIS ROEDERER,vins
114,Pierre-Edouard Stérin,800,OTIUM CAPITA,numérique
114,Gérard Teychené,800,FINANCIERE TEYCHENE,immobilier
123,"Michel David-Weill et familles de Solages, Bernheim et Guyot",780,EURAZEO,holding
124,Didier Deconinck et sa famille,775,TARKETT,industrie
125,André Einaudi et sa famille,750,ORTEC EXPANSION,services
125,Familles de Grandry et Baguenault de Puchesse,750,DESCOURS ET CABAUD,distribution
125,Claude Guedj et sa famille,750,GROUPE CRIT,services
125,Jacky Lorenzetti et sa famille,750,OVALTO INVESTISSEMENT,immobilier
125,Christian Louboutin,750,CHRISTIAN LOUBOUTIN,luxe
125,Olivier Mitterrand et sa famille,750,BASSAC (EX LES NOUVEAUX CONSTRUCTEURS,immobilier
125,Michel Ohayon,750,HERMIONE PEOPLE & BRANDS (HPB),immobilier
132,Roland Beaumanoir,700,GROUPE BEAUMANOIR,distribution
132,Michaël Benabou,700,FINANCIERE SAINT JAMES,holding
132,Henri Chibret et Jean-Frédéric Chibret,700,LABORATOIRES THEA,pharmacie
132,Pierre Courgeon et Familles Picq et Schiever,700,SCHIEVER DISTRIBUTION,distribution
132,Famille Daher,700,DAHER,industrie
132,François Faiveley et sa famille,700,WABTEC,industrie
132,Didier Ferré et sa famille,700,FERRE HOTELS,hôtellerie
132,Philippe Ginestet et sa famille,700,GIFI/TATI,distribution
132,Roland Gomez et Evelyne Gomez ainsi que leur famille,700,PROMAN,services
132,Franck Julien,700,ATALIAN,services
132,Léone Meyer et sa famille,700,PHISON CAPITAL,holding
132,Denis Oussadon et Jacques Benarroch,700,GROUPE BO,immobilier
132,"Familles Pelletier et Menaut, Desalbres...",700,DRT,chimie
132,Christian Roulleau et sa famille,700,SAMSIC,services
146,Jean-Paul Clozel et Martine Clozel,675,IDORSIA,pharmacie
147,Jerôme François et sa famille,650,TFF GROUP,industrie
147,Corinne Mentzélopoulos,650,CHATEAU MARGAUX,vins
147,Bruno Rousset,650,EVOLEM,holding
147,Robert Zolade,650,ELIOR,services
151,Jean-Louis Bouchard,625,ECONOCOM GROUP,services
151,Eric de Rothschild et Robert de Rothschild ainsi que leur famille,625,LAFITE ROTHSCHILD,services financiers
153,Famille Aulas,600,HOLNEST,holding
153,Famille Cardin,600,PIERRE CARDIN,luxe
153,Henri Chambon et sa famille,600,GROUPE SOCRI,immobilier
153,Eric Derville et sa famille,600,MOBIVIA,services
153,Jean-Paul Dubreuil et sa famille,600,GROUPE DUBREUIL,distribution
153,Familles Faure et Machet,600,FM LOGISTIC,transports
153,Marie Farines et sa famille,600,GROUPE PRIVILEGE,hôtellerie
153,Famille Foriel-Destezet,600,ADECCO,services
153,Francis Holder et sa famille,600,GROUPE HOLDER,agroalimentaire
153,Alain Madar et sa famille,600,FONCIERE DU ROND POINT,immobilier
153,Julien Sorbac,600,VEEPEE,numérique
153,Moez-Alexandre Zouari et Soraya Zouari ainsi que leur famille,600,GROUPE ZOUARI,distribution
165,Christophe Bonduelle et sa famille,576,BONDUELLE,agroalimentaire
166,Baudouin Monnoyeur et sa famille,575,GROUPE MONNOYEUR,distribution
166,Maurice Ricci et sa famille,575,AKKA TECHNOLOGIES,numérique
168,Pierre Pasquier et sa famille,560,SOPRA STERIA,numérique
169,Maurice Bansay,550,APSYS,immobilier
169,Elisabeth Coquet-Reinier et sa famille,550,ONET,services
169,Pierre Esnée et Esnée Marie-Laure,550,SD2P,hôtellerie
169,Jean-Jacques Frey et sa famille,550,COMPAGNIE FREY,holding
169,Philippe Maubert et sa famille,550,ROBERTET,chimie
169,Stanislas Rollin et sa famille,550,BOISSEE FINANCES,hôtellerie
175,Walter Butler,530,BUTLER INDUSTRIE,holding
176,Philippe Austruy et sa famille,525,GROUPE SIS,holding
176,Guy Verrecchia et sa famille,525,UGC,cinéma
178,Jean-Paul Baudecroux et sa famille,505,NRJ GROUP,médias
178,Marie-Helène Dick et Jean-Pierre Dick ainsi que leur famille,505,VIRBAC,pharmacie
180,Michel Baulé,500,EXIMIUM,holding
180,Jean-Paul Bigard et sa famille,500,GROUPE BIGARD,agroalimentaire
180,Jean-Paul Bize,500,AMS GROUP,holding
180,André Coutier et sa famille,500,AKWEL (EX MGI COUTIER),automobile
180,Hugues Dewavrin et sa famille,500,POMONA,distribution
180,Jean-Pierre Guichard et sa famille,500,MANUTAN,distribution
180,Olivier Halley et sa famille,500,GROUPE HALLEY - H PARTNER GROUP,holding
180,Vincent Miclet,500,PETROPLUS OVERSEAS,industrie
180,Richard Mille et sa famille,500,MONTRES RICHARD MILLE,luxe
180,Pâris Mouratoglou et David Corchia,500,TOTAL EREN,energie
180,Jean-Charles Naouri,500,RALLYE-CASINO,distribution
180,Patrick Poirrier et sa famille,500,GROUPE CEMOI,agroalimentaire
180,Antoine Raymond et sa famille,500,A. RAYMOND,industrie
180,Yvan Steyert et sa famille,500,SOCOMEC,industrie
194,Danièle Kapel-Marcovici et sa famille,475,RAJA,industrie
194,Jean-Claude Marian et sa famille,475,CIMMOREGENT,immobilier
196,Xavier Alvarez-Roman,460,HERACLES,immobilier
197,Marcel Braud et sa famille,457,MANITOU,industrie
198,Simon Azoulay,455,ALTEN,numérique
199,Olivier Bertrand,450,GROUPE BERTRAND,agroalimentaire
199,Daniel Derichebourg,450,DERICHEBOURG,services
