Rang,Nom,Fortune,Société,Secteur
1,Bernard Arnault et sa famille,100000,LVMH,luxe
2,Famille Hermès,55500,HERMES INTERNATIONAL,luxe
3,Alain Wertheimer et Gérard Wertheimer ainsi que leur famille,53000,CHANEL,luxe
4,Françoise Bettencourt-Meyers et sa famille,51000,L’OREAL,cosmétiques
5,François Pinault et sa famille,32000,KERING,luxe
6,Gérard Mulliez et sa famille,26000,GROUPE MULLIEZ,distribution
7,"Laurent, Marie-Hélène & Thierry Dassault",23500,GROUPE INDUSTRIEL MARCEL DASSAULT,holding
8,Pierre Castel et sa famille,13500,CASTEL FRERES,vins
9,Patrick Drahi,12500,ALTICE,télécoms
10,Pierre Omidyar,10000,EBAY/PAYPAL,numérique
11,Emmanuel Besnier et sa famille,9900,LACTALIS,agroalimentaire
12,Xavier Niel et sa famille,9000,ILIAD,télécoms
13,Alain Mérieux et sa famille,8000,BIOMERIEUX,chimie
14,François Perrodo et sa famille,6000,PERENCO,energie
14,Alexandre Ricard et sa famille,6000,PERNOD RICARD,agroalimentaire
16,Famille Courtin-Clarins,5800,CLARINS,cosmétiques
17,Vincent Bolloré,5700,BOLLORE,holding
18,Margarita Louis-Dreyfus et sa famille,4800,LOUIS-DREYFUS COMPANY,holding
18,Nicolas Puech,4800,HERMES INTERNATIONAL,luxe
20,Evan Spiegel,4700,SNAPCHAT,numérique
21,Pierre Bellon et ses enfants,4500,SODEXO,services
22,Marie-Christine Coisne-Roquette et Familles Coisne et Lambert,4300,SONEPAR,distribution
22,Ariane de Rothschild et sa famille,4300,GROUPE E. DE ROTHSCHILD,services financiers
24,Marc Ladreit de Lacharrière,4100,FIMALAC,holding
25,Olivier Pomel et Alexis Lê-Quôc,4000,DATADOG,numérique
25,Rodolphe Saadé et sa famille,4000,CMA-CGM,transports
27,Famille Decaux,3900,JCDECAUX COMMUNICATION,publicité
28,Gilles Martin et Yves-Loïc Martin,3800,EUROFINS SCIENTIFIC,santé
29,"Gilles Hennessy et familles Hennessy, Moët et Chandon",3700,LVMH,luxe
29,Famille Lesaffre,3700,LESAFFRE,agroalimentaire
31,Marc Hériard-Dubreuil et sa famille,3650,REMY COINTREAU,vins
32,Mohed Altrad,3200,ALTRAD,btp
32,Anne Beaufour et Henri Beaufour ainsi que leur famille,3200,GROUPE IPSEN,pharmacie
32,Robert Peugeot et sa famille,3200,STELLANTIS,automobile
35,Ginette Moulin et sa famille,3000,GALERIES LAFAYETTE,distribution
35,Edouard Roquette et sa famille,3000,GROUPE ROQUETTE,agroalimentaire
37,Martin Bouygues et Olivier Bouygues ainsi que leur famille,2800,BOUYGUES,btp
38,Pierre-Etienne Bindschedler,2500,SOPREMA,btp
38,Paul-Georges Despature et sa famille,2500,SOMFY,industrie
40,Charles Edelstenne,2450,DASSAULT SYSTEMES,numérique
41,Octave Klaba et sa famille,2400,OVH CLOUD,numérique
41,Daniel Roullier et sa famille,2400,GROUPE ROULLIER,chimie
43,Jean Mane et sa famille,2300,MANE,chimie
43,Bris Rocher et sa famille,2300,GROUPE ROCHER,cosmétiques
45,Thierry Mauvernay et sa famille,2200,DEBIOPHARM GROUP,pharmacie
45,Philippe d’ Ornano et Christine d’ Ornano ainsi que leur famille,2200,SISLEY,cosmétiques
47,Louis Le Duff,2100,GROUPE LE DUFF,agroalimentaire
48,Eric Guerlain et sa famille,2050,LVMH,luxe
49,Famille Pich,2000,SNF FLOERGER,chimie
49,Martine Primat et sa famille,2000,PRIMLAND,industrie
49,Jacques Veyrat,2000,IMPALA,holding
52,Famille Lescure,1950,GROUPE SEB,consommation
53,Michel Reybier,1900,DOMAINES REYBIER,holding
54,Sadri Fegaier,1800,SFAM,assurances
55,Famille de Wendel,1650,WENDEL,holding
56,Guillaume Dauphin et sa famille,1600,GUY DAUPHIN ENVIRONNEMENT,holding
56,Norbert Dentressangle et sa famille,1600,DENTRESSANGLE,holding
