Rang,Nom,Fortune,Société,Secteur
1,Bernard Arnault et sa famille,157500,LVMH,luxe
2,Famille Hermès,81500,HERMES INTERNATIONAL,luxe
3,Françoise Bettencourt-Meyers et sa famille,71400,L’OREAL,cosmétiques
4,Alain Wertheimer et Gérard Wertheimer ainsi que leur famille,67000,CHANEL,luxe
5,François Pinault et sa famille,41500,KERING,luxe
6,"Laurent, Marie-Hélène & Thierry Dassault",26600,GROUPE INDUSTRIEL MARCEL DASSAULT,holding
7,Gérard Mulliez et sa famille,24000,GROUPE MULLIEZ,distribution
8,Pierre Omidyar,20000,EBAY/PAYPAL,numérique
9,Pierre Castel et sa famille,14000,CASTEL FRERES,vins
10,Patrick Drahi,13000,ALTICE,télécoms
11,Emmanuel Besnier et sa famille,12000,LACTALIS,agroalimentaire
12,Evan Spiegel,10100,SNAPCHAT,numérique
13,Xavier Niel et sa famille,8800,ILIAD,télécoms
14,Vincent Bolloré,8200,BOLLORE,holding
15,Alexandre Ricard et sa famille,7400,PERNOD RICARD,agroalimentaire
16,Alain Mérieux et sa famille,6600,BIOMERIEUX,chimie
17,Famille Courtin-Clarins,6500,CLARINS,cosmétiques
18,Robert Peugeot et sa famille,6200,STELLANTIS,automobile
19,Marie-Christine Coisne-Roquette et Familles Coisne et Lambert,6000,SONEPAR,distribution
19,François Perrodo et sa famille,6000,PERENCO,energie
19,Rodolphe Saadé et sa famille,6000,CMA-CGM,transports
22,"Gilles Hennessy et familles Hennessy, Moët et Chandon",5900,LVMH,luxe
22,Nicolas Puech,5900,HERMES INTERNATIONAL,luxe
24,Gilles Martin et Yves-Loïc Martin,5400,EUROFINS SCIENTIFIC,santé
25,Stéphane Bancel,5000,MODERNA,pharmacie
25,Famille Decaux,5000,JCDECAUX COMMUNICATION,publicité
27,Ariane de Rothschild et sa famille,4800,GROUPE E. DE ROTHSCHILD,services financiers
28,Marc Hériard-Dubreuil et sa famille,4700,REMY COINTREAU,vins
29,Marc Ladreit de Lacharrière,4400,FIMALAC,holding
30,Olivier Pomel et Alexis Lê-Quôc,4100,DATADOG,numérique
31,Paul-Georges Despature et sa famille,4000,SOMFY,industrie
32,Mohed Altrad,3800,ALTRAD,btp
32,Octave Klaba et sa famille,3800,OVH CLOUD,numérique
32,Margarita Louis-Dreyfus et sa famille,3800,LOUIS-DREYFUS COMPANY,holding
35,Anne Beaufour et Henri Beaufour ainsi que leur famille,3700,GROUPE IPSEN,pharmacie
35,Famille Lesaffre,3700,LESAFFRE,agroalimentaire
37,Pierre Bellon et ses enfants,3600,SODEXO,services
38,Famille Lescure,3500,GROUPE SEB,consommation
39,Benoît Dageville et Thierry Cruanes,3400,SNOWFLAKE,numérique
40,Eric Guerlain et sa famille,3300,LVMH,luxe
41,Martin Bouygues et Olivier Bouygues ainsi que leur famille,3200,BOUYGUES,btp
42,Ginette Moulin et sa famille,3100,GALERIES LAFAYETTE,distribution
43,Pierre-Etienne Bindschedler,3000,SOPREMA,btp
43,Charles Edelstenne,3000,DASSAULT SYSTEMES,numérique
43,Edouard Roquette et sa famille,3000,GROUPE ROQUETTE,agroalimentaire
